Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","10uF","C_0603_1608Metric",4.925000,-33.850000,180.000000,top
"C2","0.1uF","C_0603_1608Metric",3.287500,-31.900000,180.000000,top
"C3","1uF","C_0603_1608Metric",3.287500,-30.000000,180.000000,top
"C4","10uF","C_0603_1608Metric",6.300000,-30.637500,90.000000,top
"C6","10uF","C_0603_1608Metric",17.900000,-15.730000,180.000000,top
"C8","0.1uF","C_0603_1608Metric",17.900000,-19.286000,180.000000,top
"C9","0.1uF","C_0603_1608Metric",31.887500,-12.250000,0.000000,top
"C10","0.1uF","C_0603_1608Metric",22.500000,-14.800000,270.000000,top
"C11","0.1uF","C_0603_1608Metric",28.382000,-5.662500,90.000000,top
"C12","0.1uF","C_0603_1608Metric",31.887500,-10.600000,0.000000,top
"C13","10uF","C_0603_1608Metric",-6.137500,-5.000000,0.000000,top
"C14","1uF","C_0603_1608Metric",-6.137500,-3.450000,0.000000,top
"C16","1uF","C_0603_1608Metric",31.887500,-9.050000,0.000000,top
"C17","1uF","C_0603_1608Metric",31.900000,-15.400000,0.000000,top
"D2","GRN","D_0603_1608Metric",13.425000,-38.600000,90.000000,top
"FB1","Ferrite_Bead","L_0603_1608Metric",17.900000,-17.508000,180.000000,top
"J1","10118192-0001LF","USB_Micro_B_Female_10118192",7.200000,-40.500000,0.000000,top
"Q1","Q_NMOS_GSD","SOT-23-3",40.420000,-6.240000,180.000000,top
"Q2","Q_NMOS_GSD","SOT-23-3",30.290000,3.360000,180.000000,top
"Q3","Q_NMOS_GSD","SOT-23-3",24.630000,3.350000,180.000000,top
"R0","0","R_0603_1608Metric",4.925000,-35.600000,180.000000,top
"R2","470","R_0603_1608Metric",15.500000,-38.600000,270.000000,top
"R3","100","R_0603_1608Metric",29.932000,-5.662500,90.000000,top
"R4","100","R_0603_1608Metric",31.482000,-5.650000,90.000000,top
"R5","10K","R_0603_1608Metric",23.732000,-5.650000,270.000000,top
"R6","10K","R_0603_1608Metric",20.586000,-5.650000,270.000000,top
"R7","10K","R_0603_1608Metric",22.136000,-5.650000,270.000000,top
"R8","10K","R_0603_1608Metric",26.832000,-5.662500,90.000000,top
"R9","12.1K","R_0603_1608Metric",31.887500,-13.800000,0.000000,top
"R10","49.9","R_0603_1608Metric",25.150000,-18.800000,90.000000,top
"R11","49.9","R_0603_1608Metric",22.800000,-18.800000,90.000000,top
"R12","49.9","R_0603_1608Metric",30.250000,-18.800000,90.000000,top
"R13","49.9","R_0603_1608Metric",27.950000,-18.800000,90.000000,top
"R14","270","R_0603_1608Metric",38.040000,-20.470000,180.000000,top
"R15","270","R_0603_1608Metric",38.000000,-25.160000,0.000000,top
"R16","10K","R_0603_1608Metric",-6.137500,-6.550000,180.000000,top
"R17","100","R_0603_1608Metric",17.400000,-10.950000,0.000000,top
"R18","100","R_0603_1608Metric",17.400000,-8.450000,0.000000,top
"R19","100","R_0603_1608Metric",17.400000,-4.600000,0.000000,top
"R20","100","R_0603_1608Metric",17.900000,-14.000000,180.000000,top
"R21","100","R_0603_1608Metric",25.282000,-5.662500,90.000000,top
"R22","47","R_0603_1608Metric",40.830000,-30.135000,90.000000,top
"R23","47","R_0603_1608Metric",39.205000,-30.135000,90.000000,top
"R24","82","R_0603_1608Metric",37.580000,-30.180000,90.000000,top
"R25","10K","R_0603_1608Metric",-1.600000,-27.212500,270.000000,top
"U1","AZ1117-3.3","SOT-223",11.800000,-32.050000,0.000000,top
"U2","LAN8720A","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",26.500000,-11.600000,90.000000,top
"U3","ESP32-WROOM-32D","ESP32-WROOM-32",5.500000,-10.350000,0.000000,top
